recipe_num,name,category,status,tier,idempotency_class,first_apply_ms,idempotent_apply_ms,blocker_ticket,blocker_description,last_qualified,qualified_by,score,grade,static_grade,runtime_grade,cor,idm,prf,saf,obs,doc,res,cmp,score_version
43,log-management,linux,qualified,2+3,strong,1011,22,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,97,100,85,61,65,2.0
44,time-sync,linux,qualified,2+3,strong,810,21,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,97,100,75,61,65,2.0
45,custom-systemd-units,linux,qualified,2+3,strong,970,20,,,2026-03-01,cookbook-runner,89,B,B,A,95,90,100,100,100,85,61,65,2.0
46,resource-limits,linux,qualified,2+3,strong,758,22,,,2026-03-01,cookbook-runner,89,B,B,A,95,90,100,100,100,85,61,65,2.0
47,automated-patching,linux,qualified,2+3,strong,988,21,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,97,100,85,61,65,2.0
48,hostname-locale-dns,linux,qualified,2+3,strong,1033,19,,,2026-03-01,cookbook-runner,89,B,B,A,95,90,100,100,100,85,61,65,2.0
49,swap-memory,linux,qualified,3,weak,711,22,,,2026-03-01,cookbook-runner,87,B,B,A,95,80,100,100,100,85,61,65,2.0
50,failure-partial-apply,failure,qualified,2+3,strong,788,23,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,100,100,75,61,65,2.0
51,failure-state-recovery,failure,qualified,2+3,strong,936,24,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,100,100,75,61,65,2.0
52,failure-idempotent-crash,failure,qualified,2+3,strong,695,22,,,2026-03-01,cookbook-runner,89,B,B,A,95,90,100,100,100,85,61,65,2.0
53,stack-dev-server,composability,qualified,2+3,strong,1108,23,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,94,100,85,61,65,2.0
54,stack-web-production,composability,qualified,2+3,strong,1304,22,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,97,100,75,61,65,2.0
55,stack-gpu-lab,composability,qualified,3,strong,1126,21,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,97,100,75,61,65,2.0
56,stack-build-farm,composability,qualified,2+3,strong,1245,22,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,97,100,75,61,65,2.0
57,stack-package-pipeline,composability,qualified,2+3,strong,1294,21,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,97,100,75,61,65,2.0
58,stack-ml-inference,composability,qualified,3,weak,1253,21,,,2026-03-01,cookbook-runner,86,B,B,A,95,80,100,100,100,75,61,65,2.0
59,stack-ci-infrastructure,composability,qualified,2+3,strong,1119,21,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,97,100,75,61,65,2.0
60,stack-sovereign-ai,composability,qualified,3,strong,1755,22,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,97,100,85,61,65,2.0
61,stack-fleet-baseline,composability,qualified,2+3,strong,1157,42,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,97,100,75,61,65,2.0
62,stack-cross-distro,composability,qualified,2+3,strong,1265,22,,,2026-03-01,cookbook-runner,88,B,B,A,95,90,100,97,100,75,61,65,2.0
88,wireguard-vpn,infra,pending,2+3,strong,,,,,,,41,B,B,pending,,,,80,100,85,76,75,2.0
89,postgresql-replication,infra,pending,2+3,strong,,,,,,,41,C,C,pending,,,,100,100,85,50,75,2.0
90,haproxy-ha,infra,pending,2+3,strong,,,,,,,41,C,C,pending,,,,100,100,85,50,75,2.0
91,podman-rootless,infra,pending,2+3,strong,,,,,,,40,C,C,pending,,,,100,100,85,45,65,2.0
92,cis-hardening,infra,pending,2+3,strong,,,,,,,43,B,B,pending,,,,100,100,85,81,65,2.0
93,k3s-cluster,infra,pending,2+3,strong,,,,,,,32,D,D,pending,,,,10,100,85,66,75,2.0
94,canary-deployment,devops,pending,2+3,strong,,,,,,,32,C,C,pending,,,,40,100,85,46,65,2.0
95,otel-collector,infra,pending,2+3,strong,,,,,,,34,C,C,pending,,,,40,100,85,61,65,2.0
96,oci-image-build,platform,pending,2+3,strong,,,,,,,41,C,C,pending,,,,100,100,85,56,65,2.0
97,task-pipeline-gates,platform,pending,2+3,strong,,,,,,,41,C,C,pending,,,,100,100,85,56,65,2.0
98,recipe-signing,platform,pending,2+3,strong,,,,,,,41,C,C,pending,,,,100,100,85,56,65,2.0
